Year,Deaths,Population,gundeathrate
1999,3373,80039970,4.2
2000,3018,80473265,3.8
2001,2919,80906541,3.6
2002,2873,81173400,3.5
2003,2833,81425816,3.5
2004,2832,81754354,3.5
2005,3009,82005260,3.7
2006,3188,82324418,3.9
2007,3043,82749431,3.7
2008,2954,83118264,3.6
2009,2798,83280391,3.4
2010,2697,83267556,3.2
2011,2689,82845149,3.2
2012,2669,82504800,3.2
2013,2452,82248087,3
2014,2531,82135602,3.1
2015,2805,82125690,3.4
2016,3135,82105068,3.8
2017,3413,82153212,4.2
2018,3317,81982665,4
2019,3376,81625416,4.1
2020,4345,81254355,5.3
