Race,Year,Deaths,Population,suirate,adjsuirate
American Indian or Alaska Native,1999,137,2832761,4.8,4.9
American Indian or Alaska Native,2000,133,2984150,4.5,4.7
American Indian or Alaska Native,2001,134,3097333,4.3,4.5
American Indian or Alaska Native,2002,146,3202471,4.6,4.6
American Indian or Alaska Native,2003,127,3312011,3.8,3.9
American Indian or Alaska Native,2004,152,3429452,4.4,4.5
American Indian or Alaska Native,2005,164,3554356,4.6,4.7
American Indian or Alaska Native,2006,154,3687683,4.2,4.2
American Indian or Alaska Native,2007,135,3829898,3.5,3.7
American Indian or Alaska Native,2008,153,3983929,3.8,4
American Indian or Alaska Native,2009,161,4141215,3.9,3.9
American Indian or Alaska Native,2010,178,4263538,4.2,4.3
American Indian or Alaska Native,2011,177,4347413,4.1,4.3
American Indian or Alaska Native,2012,199,4398436,4.5,4.6
American Indian or Alaska Native,2013,202,4457934,4.5,4.7
American Indian or Alaska Native,2014,186,4518981,4.1,4.4
American Indian or Alaska Native,2015,207,4577853,4.5,4.8
American Indian or Alaska Native,2016,223,4630155,4.8,4.9
American Indian or Alaska Native,2017,247,4689047,5.3,5.3
American Indian or Alaska Native,2018,233,4739288,4.9,4.9
American Indian or Alaska Native,2019,203,4785203,4.2,4.2
American Indian or Alaska Native,2020,292,4899485,6,6
Asian or Pacific Islander,1999,203,11346496,1.8,1.7
Asian or Pacific Islander,2000,189,11757685,1.6,1.6
Asian or Pacific Islander,2001,179,12429181,1.4,1.4
Asian or Pacific Islander,2002,171,12953763,1.3,1.3
Asian or Pacific Islander,2003,190,13461109,1.4,1.4
Asian or Pacific Islander,2004,182,13967014,1.3,1.3
Asian or Pacific Islander,2005,149,14494417,1,1
Asian or Pacific Islander,2006,175,15029851,1.2,1.1
Asian or Pacific Islander,2007,221,15559373,1.4,1.4
Asian or Pacific Islander,2008,181,16094699,1.1,1.1
Asian or Pacific Islander,2009,208,16609031,1.3,1.2
Asian or Pacific Islander,2010,226,16993326,1.3,1.3
Asian or Pacific Islander,2011,218,17471358,1.2,1.2
Asian or Pacific Islander,2012,253,18087959,1.4,1.4
Asian or Pacific Islander,2013,272,18630136,1.5,1.4
Asian or Pacific Islander,2014,245,19398214,1.3,1.2
Asian or Pacific Islander,2015,304,20102717,1.5,1.4
Asian or Pacific Islander,2016,346,20487524,1.7,1.7
Asian or Pacific Islander,2017,380,21210673,1.8,1.7
Asian or Pacific Islander,2018,375,21601064,1.7,1.6
Asian or Pacific Islander,2019,400,21814724,1.8,1.8
Asian or Pacific Islander,2020,393,22413737,1.8,1.7
Black or African American,1999,1126,36173121,3.1,3.3
Black or African American,2000,1092,36594309,3,3.1
Black or African American,2001,1096,37249775,2.9,3.1
Black or African American,2002,1059,37748424,2.8,3
Black or African American,2003,1007,38209741,2.6,2.7
Black or African American,2004,1011,38738798,2.6,2.7
Black or African American,2005,1010,39280731,2.6,2.7
Black or African American,2006,1017,39857107,2.6,2.6
Black or African American,2007,987,40451108,2.4,2.5
Black or African American,2008,1050,41048959,2.6,2.6
Black or African American,2009,1034,41632450,2.5,2.6
Black or African American,2010,1079,42065334,2.6,2.7
Black or African American,2011,1096,42678815,2.6,2.6
Black or African American,2012,1142,43203092,2.6,2.7
Black or African American,2013,1086,43696271,2.5,2.6
Black or African American,2014,1153,44309394,2.6,2.7
Black or African American,2015,1168,44863196,2.6,2.7
Black or African American,2016,1386,45307020,3.1,3
Black or African American,2017,1488,45883808,3.2,3.2
Black or African American,2018,1572,46262846,3.4,3.4
Black or African American,2019,1630,46599393,3.5,3.5
Black or African American,2020,1896,47181245,4,4
White,1999,15235,228687790,6.7,6.5
White,2000,15277,230085762,6.6,6.5
White,2001,15529,232192666,6.7,6.5
White,2002,15781,233720535,6.8,6.6
White,2003,15630,235125072,6.6,6.4
White,2004,15440,236670034,6.5,6.3
White,2005,15697,238187095,6.6,6.4
White,2006,15559,239805271,6.5,6.2
White,2007,16026,241390828,6.6,6.3
White,2008,16856,242966379,6.9,6.6
White,2009,17347,244388833,7.1,6.7
White,2010,17930,245423340,7.3,6.9
White,2011,18523,247094331,7.5,7.1
White,2012,19101,248224553,7.7,7.2
White,2013,19642,249344498,7.9,7.4
White,2014,19823,250630467,7.9,7.4
White,2015,20359,251875054,8.1,7.5
White,2016,20996,252702814,8.3,7.7
White,2017,21777,253935650,8.6,8
White,2018,22272,254564236,8.7,8.1
White,2019,21730,255040203,8.5,7.8
White,2020,21734,254989656,8.5,7.9
